filename	condition_code	description	item_code	target_onset
local_sent_eggtart_e.wav	2	local_noswitch_eggtart	2033	626
local_sent_elephant_e.wav	2	local_noswitch_elephant	2034	515
local_sent_essay_e.wav	2	local_noswitch_essay	2035	825
local_sent_event_e.wav	2	local_noswitch_event	2036	567
local_sent_eye_e.wav	2	local_noswitch_eye	2037	593
local_sent_family_e.wav	2	local_noswitch_family	2038	602
local_sent_finger_e.wav	2	local_noswitch_finger	2039	658
local_sent_friedrice_e.wav	2	local_noswitch_friedrice	2040	531
local_sent_friend_e.wav	2	local_noswitch_friend	2041	510
local_sent_frog_e.wav	2	local_noswitch_frog	2042	458
local_sent_game_e.wav	2	local_noswitch_game	2043	485
local_sent_garbage_e.wav	2	local_noswitch_garbage	2044	588
local_sent_garden_e.wav	2	local_noswitch_garden	2045	665
local_sent_garlic_e.wav	2	local_noswitch_garlic	2046	840
local_sent_gift_e.wav	2	local_noswitch_gift	2047	490
local_sent_grapes_e.wav	2	local_noswitch_grapes	2048	541
local_sent_greentea_e.wav	2	local_noswitch_greentea	2049	479
local_sent_hanger_e.wav	2	local_noswitch_hanger	2050	777
local_sent_homework_e.wav	2	local_noswitch_homework	2051	845
local_sent_honey_e.wav	2	local_noswitch_honey	2052	750
local_sent_hotel_e.wav	2	local_noswitch_hotel	2053	643
local_sent_hotpot_e.wav	2	local_noswitch_hotpot	2054	612
local_sent_house_e.wav	2	local_noswitch_house	2055	428
local_sent_key_e.wav	2	local_noswitch_key	2056	625
local_sent_language_e.wav	2	local_noswitch_language	2057	645
local_sent_law_e.wav	2	local_noswitch_law	2058	505
local_sent_letter_e.wav	2	local_noswitch_letter	2059	655
local_sent_luggage_e.wav	2	local_noswitch_luggage	2060	634
local_sent_lunchbox_e.wav	2	local_noswitch_lunchbox	2061	656
local_sent_man_e.wav	2	local_noswitch_man	2062	686
local_sent_milk_e.wav	2	local_noswitch_milk	2063	708
local_sent_moon_e.wav	2	local_noswitch_moon	2064	750
local_sent_movie_e.wav	2	local_noswitch_movie	2065	528
local_sent_mushrooms_e.wav	2	local_noswitch_mushrooms	2066	715
local_sent_music_e.wav	2	local_noswitch_music	2067	653
local_sent_newspaper_e.wav	2	local_noswitch_newspaper	2068	655
local_sent_noodle_e.wav	2	local_noswitch_noodle	2069	450
local_sent_number_e.wav	2	local_noswitch_number	2070	610
local_sent_peacock_e.wav	2	local_noswitch_peacock	2071	565
local_sent_peak_e.wav	2	local_noswitch_peak	2072	695
local_sent_pencil_e.wav	2	local_noswitch_pencil	2073	690
local_sent_pepper_e.wav	2	local_noswitch_pepper	2074	675
local_sent_phone_e.wav	2	local_noswitch_phone	2075	545
local_sent_photo_e.wav	2	local_noswitch_photo	2076	575
local_sent_piano_e.wav	2	local_noswitch_piano	2077	590
local_sent_picnic_e.wav	2	local_noswitch_picnic	2078	648
local_sent_plant_e.wav	2	local_noswitch_plant	2079	713
local_sent_plate_e.wav	2	local_noswitch_plate	2080	695
local_sent_potato_e.wav	2	local_noswitch_potato	2081	545
local_sent_quality_e.wav	2	local_noswitch_quality	2082	819
local_sent_question_e.wav	2	local_noswitch_question	2083	485
local_sent_radish_e.wav	2	local_noswitch_radish	2084	722
local_sent_raincoat_e.wav	2	local_noswitch_raincoat	2085	467
local_sent_residence_e.wav	2	local_noswitch_residence	2086	578
local_sent_riddle_e.wav	2	local_noswitch_riddle	2087	670
local_sent_rocks_e.wav	2	local_noswitch_rocks	2088	733
local_sent_room_e.wav	2	local_noswitch_room	2089	564
local_sent_ruler_e.wav	2	local_noswitch_ruler	2090	560
local_sent_scarf_e.wav	2	local_noswitch_scarf	2091	450
local_sent_shoes_e.wav	2	local_noswitch_shoes	2092	458
local_sent_soccer_e.wav	2	local_noswitch_soccer	2093	419
local_sent_spider_e.wav	2	local_noswitch_spider	2094	735
local_sent_spoon_e.wav	2	local_noswitch_spoon	2095	564
local_sent_squirrel_e.wav	2	local_noswitch_squirrel	2096	703
local_sent_stairs_e.wav	2	local_noswitch_stairs	2097	592
local_sent_story_e.wav	2	local_noswitch_story	2098	468
local_sent_student_e.wav	2	local_noswitch_student	2099	446
local_sent_subway_e.wav	2	local_noswitch_subway	2100	467
local_sent_sun_e.wav	2	local_noswitch_sun	2101	563
local_sent_table_e.wav	2	local_noswitch_table	2102	706
local_sent_teacher_e.wav	2	local_noswitch_teacher	2103	489
local_sent_thing_e.wav	2	local_noswitch_thing	2104	610
local_sent_time_e.wav	2	local_noswitch_time	2105	587
local_sent_tomato_e.wav	2	local_noswitch_tomato	2106	520
local_sent_toothpaste_e.wav	2	local_noswitch_toothpaste	2107	558
local_sent_towel_e.wav	2	local_noswitch_towel	2108	687
local_sent_toy_e.wav	2	local_noswitch_toy	2109	514
local_sent_train_e.wav	2	local_noswitch_train	2110	438
local_sent_TV_e.wav	2	local_noswitch_TV	2111	540
local_sent_umbrella_e.wav	2	local_noswitch_umbrella	2112	755
local_sent_vegetables_e.wav	2	local_noswitch_vegetables	2113	740
local_sent_watch_e.wav	2	local_noswitch_watch	2114	553
local_sent_weekend_e.wav	2	local_noswitch_weekend	2115	540
local_sent_whiteboard_e.wav	2	local_noswitch_whiteboard	2116	566
local_sent_window_e.wav	2	local_noswitch_window	2117	725
local_sent_woman_e.wav	2	local_noswitch_woman	2118	548
local_sent_work_e.wav	2	local_noswitch_work	2119	616
local_sent_world_e.wav	2	local_noswitch_world	2120	660
mando_sent_address.wav	3	mando_switched_address	3001	725
mando_sent_afternoon.wav	3	mando_switched_afternoon	3002	591
mando_sent_airport.wav	3	mando_switched_airport	3003	712
mando_sent_animals.wav	3	mando_switched_animals	3004	865
mando_sent_ants.wav	3	mando_switched_ants	3005	861
mando_sent_apple.wav	3	mando_switched_apple	3006	740
mando_sent_backpack.wav	3	mando_switched_backpack	3007	555
mando_sent_balcony.wav	3	mando_switched_balcony	3008	888
mando_sent_banana.wav	3	mando_switched_banana	3009	614
mando_sent_beverage.wav	3	mando_switched_beverage	3010	850
mando_sent_bookshelf.wav	3	mando_switched_bookshelf	3011	441
